ticker,Accruals_dolt,Accruals_est,Accruals
A,0.0004999999999999,,0.0004999999999999
AAPL,-0.0226999999999999,,-0.0226999999999999
ABBV,-0.0385,,-0.0385
ABNB,-0.00305,,-0.00305
ABT,-0.029375,,-0.029375
ACGL,-0.023,,-0.023
ACN,-0.025175,,-0.025175
ADBE,-0.025025,,-0.025025
ADI,-0.027225,,-0.027225
ADM,-0.01615,,-0.01615
ADP,-0.0355,,-0.0355
ADSK,-0.0232749999999999,,-0.0232749999999999
AEE,-0.024975,,-0.024975
AEP,-0.0221999999999999,,-0.0221999999999999
AES,-0.02165,,-0.02165
AFL,-0.008225,,-0.008225
AIG,-0.014925,,-0.014925
AIZ,-0.0088,,-0.0088
AJG,-0.006725,,-0.006725
AKAM,-0.0469749999999999,,-0.0469749999999999
ALB,-0.0252,,-0.0252
ALGN,-0.018925,,-0.018925
ALL,-0.006575,,-0.006575
ALLE,-0.014575,,-0.014575
AMAT,0.0011749999999999,,0.0011749999999999
AMCR,-0.010175,,-0.010175
AMD,-0.017775,,-0.017775
AME,-0.01715,,-0.01715
AMGN,-0.046025,,-0.046025
AMP,0.002525,,0.002525
AMT,-0.025525,,-0.025525
AMZN,-0.060925,,-0.060925
ANET,-0.015425,,-0.015425
AON,-0.006875,,-0.006875
AOS,-0.015775,,-0.015775
APA,-0.092125,,-0.092125
APD,-0.0237,,-0.0237
APH,-0.011025,,-0.011025
APO,-0.000325,,-0.000325
APP,-0.05745,,-0.05745
APTV,-0.0255499999999999,,-0.0255499999999999
ARE,-0.0183499999999999,,-0.0183499999999999
ARM,,,
ASML,,,
ATO,-0.01995,,-0.01995
AVB,-0.0319,,-0.0319
AVGO,-0.032375,,-0.032375
AVY,-0.0146249999999999,,-0.0146249999999999
AWK,-0.0264499999999999,,-0.0264499999999999
AXON,-0.01255,,-0.01255
AXP,-0.0037749999999999,,-0.0037749999999999
AZN,,,
AZO,-0.0208749999999999,,-0.0208749999999999
BA,-0.0089,,-0.0089
BAC,,,
BALL,-0.0143499999999999,,-0.0143499999999999
BAX,-0.047475,,-0.047475
BBY,-0.0395,,-0.0395
BDX,-0.029775,,-0.029775
BEN,-0.01285,,-0.01285
BF-B,,,
BG,-0.00665,,-0.00665
BIIB,-0.0223,,-0.0223
BK,-0.0293,,-0.0293
BKNG,-0.04095,,-0.04095
BKR,-0.012375,,-0.012375
BLDR,-0.035475,,-0.035475
BLK,-0.003625,,-0.003625
BMY,-0.06425,,-0.06425
BR,-0.034875,,-0.034875
BRK-B,,,
BRO,-0.0089,,-0.0089
BSX,-0.026275,,-0.026275
BX,-0.004025,,-0.004025
BXP,-0.025475,,-0.025475
C,-0.0591,,-0.0591
CAG,-0.00135,,-0.00135
CAH,-0.010375,,-0.010375
CARR,-0.0225,,-0.0225
CAT,-0.014025,,-0.014025
CB,-0.0141249999999999,,-0.0141249999999999
CBOE,-0.0232,,-0.0232
CBRE,-0.023725,,-0.023725
CCEP,,,
CCI,-0.1089,,-0.1089
CCL,-0.04505,,-0.04505
CDNS,-0.018225,,-0.018225
CDW,-0.01115,,-0.01115
CEG,-0.039925,,-0.039925
CF,-0.046225,,-0.046225
CFG,-0.00145,,-0.00145
CHD,-0.0176,,-0.0176
CHRW,-0.012075,,-0.012075
CHTR,-0.03725,,-0.03725
CI,-0.00575,,-0.00575
CINF,-0.0135,,-0.0135
CL,-0.016425,,-0.016425
CLX,-0.038925,,-0.038925
CMCSA,-0.025675,,-0.025675
CME,-0.0009,,-0.0009
CMG,-0.02515,,-0.02515
CMI,-0.00295,,-0.00295
CMS,-0.0243,,-0.0243
CNC,-0.006875,,-0.006875
CNP,-0.0233,,-0.0233
COF,-0.006025,,-0.006025
COIN,-0.062925,,-0.062925
COO,-0.0156,,-0.0156
COP,-0.0688,,-0.0688
COR,-0.0066249999999999,,-0.0066249999999999
COST,-0.02515,,-0.02515
CPAY,-0.031125,,-0.031125
CPB,-0.0067749999999999,,-0.0067749999999999
CPRT,-0.0192,,-0.0192
CPT,-0.04085,,-0.04085
CRL,-0.04385,,-0.04385
CRM,-0.0378,,-0.0378
CRWD,-0.05325,,-0.05325
CSCO,-0.003875,,-0.003875
CSGP,-0.02325,,-0.02325
CSX,-0.026925,,-0.026925
CTAS,-0.028325,,-0.028325
CTRA,-0.0634,,-0.0634
CTSH,-0.01015,,-0.01015
CTVA,-0.0209,,-0.0209
CVS,-0.01085,,-0.01085
CVX,-0.050525,,-0.050525
D,-0.0242,,-0.0242
DAL,-0.01165,,-0.01165
DASH,-0.0366999999999999,,-0.0366999999999999
DAY,-0.0165,,-0.0165
DD,-0.0295,,-0.0295
DDOG,0.015325,,0.015325
DE,-0.0132749999999999,,-0.0132749999999999
DECK,-0.0070999999999999,,-0.0070999999999999
DELL,-0.008275,,-0.008275
DG,-0.025125,,-0.025125
DGX,-0.022375,,-0.022375
DHI,0.005025,,0.005025
DHR,-0.01355,,-0.01355
DIS,-0.02255,,-0.02255
DLR,-0.030125,,-0.030125
DLTR,-0.0351999999999999,,-0.0351999999999999
DOC,-0.024875,,-0.024875
DOV,-0.0223249999999999,,-0.0223249999999999
DOW,-0.02825,,-0.02825
DPZ,-0.034675,,-0.034675
DRI,-0.024325,,-0.024325
DTE,-0.02345,,-0.02345
DUK,-0.026875,,-0.026875
DVA,-0.0242,,-0.0242
DVN,-0.084525,,-0.084525
DXCM,-0.0684,,-0.0684
EA,-0.026125,,-0.026125
EBAY,-0.0103,,-0.0103
ECL,-0.0384,,-0.0384
ED,-0.01695,,-0.01695
EFX,-0.03715,,-0.03715
EG,-0.019725,,-0.019725
EIX,-0.0296,,-0.0296
EL,-0.033675,,-0.033675
ELV,-0.002525,,-0.002525
EME,-0.0134,,-0.0134
EMN,-0.01065,,-0.01065
EMR,-0.023075,,-0.023075
EOG,-0.069675,,-0.069675
EPAM,-0.009225,,-0.009225
EQIX,-0.0417499999999999,,-0.0417499999999999
EQR,-0.029875,,-0.029875
EQT,-0.03695,,-0.03695
ERIE,-0.008025,,-0.008025
ES,-0.0219,,-0.0219
ESS,-0.03635,,-0.03635
ETN,-0.018875,,-0.018875
ETR,-0.0257,,-0.0257
EVRG,-0.03345,,-0.03345
EW,-0.015375,,-0.015375
EXC,-0.020925,,-0.020925
EXE,-0.078975,,-0.078975
EXPD,-0.0037,,-0.0037
EXPE,-0.0388,,-0.0388
EXR,-0.02135,,-0.02135
F,-0.01455,,-0.01455
FANG,-0.03655,,-0.03655
FAST,-0.0092,,-0.0092
FCX,-0.02205,,-0.02205
FDS,-0.023475,,-0.023475
FDX,-0.031475,,-0.031475
FE,-0.02815,,-0.02815
FFIV,-0.0143,,-0.0143
FI,-0.027025,,-0.027025
FICO,-0.0052249999999999,,-0.0052249999999999
FIS,-0.04385,,-0.04385
FITB,0.00815,,0.00815
FOX,-0.01715,,-0.01715
FOXA,-0.01715,,-0.01715
FRT,-0.024825,,-0.024825
FSLR,-0.0035499999999999,,-0.0035499999999999
FTNT,-0.038775,,-0.038775
FTV,-0.0265749999999999,,-0.0265749999999999
GD,-0.011175,,-0.011175
GDDY,-0.0206,,-0.0206
GE,-0.0037,,-0.0037
GEHC,-0.0074749999999999,,-0.0074749999999999
GEN,-0.0176,,-0.0176
GEV,-0.018625,,-0.018625
GFS,,,
GILD,-0.034575,,-0.034575
GIS,-0.0118,,-0.0118
GL,-0.0112,,-0.0112
GLW,-0.0257249999999999,,-0.0257249999999999
GM,-0.0237,,-0.0237
GNRC,-0.0223,,-0.0223
GOOG,-0.0226749999999999,,-0.0226749999999999
GOOGL,-0.0226749999999999,,-0.0226749999999999
GPC,-0.007775,,-0.007775
GPN,-0.0241249999999999,,-0.0241249999999999
GRMN,-0.0017,,-0.0017
GS,,,
GWW,-0.01145,,-0.01145
HAL,-0.026775,,-0.026775
HAS,-0.021475,,-0.021475
HBAN,-0.0005749999999999,,-0.0005749999999999
HCA,-0.0392,,-0.0392
HD,-0.02,,-0.02
HIG,-0.0097,,-0.0097
HII,-0.026025,,-0.026025
HLT,-0.01815,,-0.01815
HOLX,-0.024075,,-0.024075
HON,-0.02725,,-0.02725
HOOD,-0.011275,,-0.011275
HPE,-0.02575,,-0.02575
HPQ,-0.010825,,-0.010825
HRL,-0.00805,,-0.00805
HSIC,-0.02775,,-0.02775
HST,-0.04805,,-0.04805
HSY,-0.01875,,-0.01875
HUBB,-0.009675,,-0.009675
HUM,0.005675,,0.005675
HWM,-0.00965,,-0.00965
IBKR,-0.042425,,-0.042425
IBM,-0.024675,,-0.024675
ICE,-0.00475,,-0.00475
IDXX,-0.03965,,-0.03965
IEX,-0.014275,,-0.014275
IFF,-0.045375,,-0.045375
INCY,-0.0026999999999999,,-0.0026999999999999
INTC,-0.0366,,-0.0366
INTU,-0.006725,,-0.006725
INVH,-0.034825,,-0.034825
IP,-0.039125,,-0.039125
IPG,-0.0170999999999999,,-0.0170999999999999
IQV,-0.0311,,-0.0311
IR,-0.01985,,-0.01985
IRM,-0.03255,,-0.03255
ISRG,-0.01235,,-0.01235
IT,-0.023075,,-0.023075
ITW,-0.0139999999999999,,-0.0139999999999999
IVZ,-0.07925,,-0.07925
J,-0.020975,,-0.020975
JBHT,-0.064175,,-0.064175
JBL,-0.0358,,-0.0358
JCI,-0.0143499999999999,,-0.0143499999999999
JKHY,-0.0476,,-0.0476
JNJ,-0.019625,,-0.019625
JPM,,,
K,-0.023725,,-0.023725
KDP,-0.0086999999999999,,-0.0086999999999999
KEY,0.0016249999999999,,0.0016249999999999
KEYS,-0.008475,,-0.008475
KHC,-0.005625,,-0.005625
KIM,-0.0168,,-0.0168
KKR,-0.011975,,-0.011975
KLAC,-0.0195,,-0.0195
KMB,-0.0303249999999999,,-0.0303249999999999
KMI,-0.020175,,-0.020175
KO,0.008725,,0.008725
KR,-0.05525,,-0.05525
KVUE,-0.0191,,-0.0191
L,-0.007175,,-0.007175
LDOS,-0.002975,,-0.002975
LEN,-0.0348249999999999,,-0.0348249999999999
LH,-0.006,,-0.006
LHX,-0.014325,,-0.014325
LII,-0.007175,,-0.007175
LIN,-0.03155,,-0.03155
LKQ,-0.012425,,-0.012425
LLY,0.02795,,0.02795
LMT,-0.02285,,-0.02285
LNT,-0.024425,,-0.024425
LOW,-0.03185,,-0.03185
LRCX,-0.023925,,-0.023925
LULU,-0.034425,,-0.034425
LUV,-0.0360749999999999,,-0.0360749999999999
LVS,-0.042775,,-0.042775
LW,-0.0345,,-0.0345
LYB,-0.0334249999999999,,-0.0334249999999999
LYV,-0.036425,,-0.036425
MA,-0.0518249999999999,,-0.0518249999999999
MAA,-0.0327,,-0.0327
MAR,-0.0065,,-0.0065
MAS,-0.0033749999999999,,-0.0033749999999999
MCD,-0.025875,,-0.025875
MCHP,-0.0451499999999999,,-0.0451499999999999
MCK,-0.013575,,-0.013575
MCO,-0.0149,,-0.0149
MDLZ,-0.0173749999999999,,-0.0173749999999999
MDT,-0.017525,,-0.017525
MELI,,,
MET,-0.0073,,-0.0073
META,-0.039075,,-0.039075
MGM,-0.014775,,-0.014775
MHK,-0.026225,,-0.026225
MKC,0.004925,,0.004925
MLM,-0.0258499999999999,,-0.0258499999999999
MMC,-0.0129749999999999,,-0.0129749999999999
MMM,0.0023249999999999,,0.0023249999999999
MNST,-0.01185,,-0.01185
MO,-0.01135,,-0.01135
MOH,0.012525,,0.012525
MOS,-0.0365,,-0.0365
MPC,-0.028025,,-0.028025
MPWR,-0.004725,,-0.004725
MRK,-0.025425,,-0.025425
MRNA,0.006575,,0.006575
MRVL,,,
MS,,,
MSCI,-0.026325,,-0.026325
MSFT,-0.0393,,-0.0393
MSI,-0.015125,,-0.015125
MSTR,,,
MTB,-0.0006499999999999,,-0.0006499999999999
MTCH,-0.030025,,-0.030025
MTD,-0.023425,,-0.023425
MU,-0.0668499999999999,,-0.0668499999999999
NCLH,-0.0375,,-0.0375
NDAQ,-0.01365,,-0.01365
NDSN,-0.01115,,-0.01115
NEE,-0.020075,,-0.020075
NEM,-0.04795,,-0.04795
NFLX,-0.1762999999999999,,-0.1762999999999999
NI,-0.0243999999999999,,-0.0243999999999999
NKE,-0.017825,,-0.017825
NOC,-0.009925,,-0.009925
NOW,-0.0461749999999999,,-0.0461749999999999
NRG,-0.0597,,-0.0597
NSC,-0.020775,,-0.020775
NTAP,-0.0189499999999999,,-0.0189499999999999
NTRS,-0.023075,,-0.023075
NUE,-0.029225,,-0.029225
NVDA,0.010275,,0.010275
NVR,0.000525,,0.000525
NWS,-0.012775,,-0.012775
NWSA,-0.012775,,-0.012775
NXPI,-0.01705,,-0.01705
O,-0.0265,,-0.0265
ODFL,-0.046625,,-0.046625
OKE,-0.01875,,-0.01875
OMC,-0.00685,,-0.00685
ON,-0.031225,,-0.031225
ORCL,-0.03265,,-0.03265
ORLY,-0.023925,,-0.023925
OTIS,-0.008575,,-0.008575
OXY,-0.05925,,-0.05925
PANW,-0.030875,,-0.030875
PAYC,-0.018375,,-0.018375
PAYX,-0.0190499999999999,,-0.0190499999999999
PCAR,-0.001125,,-0.001125
PCG,-0.0226,,-0.0226
PDD,,,
PEG,-0.018175,,-0.018175
PEP,-0.022875,,-0.022875
PFE,-0.026375,,-0.026375
PFG,-0.0044,,-0.0044
PG,-0.0134,,-0.0134
PGR,-0.0186,,-0.0186
PH,-0.0056749999999999,,-0.0056749999999999
PHM,-0.0013499999999999,,-0.0013499999999999
PKG,-0.04005,,-0.04005
PLD,-0.013525,,-0.013525
PLTR,-0.01145,,-0.01145
PM,-0.01045,,-0.01045
PNC,-0.00145,,-0.00145
PNR,-0.01245,,-0.01245
PNW,-0.0426999999999999,,-0.0426999999999999
PODD,-0.009375,,-0.009375
POOL,-0.010125,,-0.010125
PPG,-0.012475,,-0.012475
PPL,-0.0223,,-0.0223
PRU,-0.0067,,-0.0067
PSA,-0.043375,,-0.043375
PSKY,0.0053,,0.0053
PSX,-0.0207,,-0.0207
PTC,-0.0180999999999999,,-0.0180999999999999
PWR,-0.0238,,-0.0238
PYPL,0.01325,,0.01325
QCOM,-0.006225,,-0.006225
RCL,-0.031275,,-0.031275
REG,-0.019325,,-0.019325
REGN,-0.00845,,-0.00845
RF,-0.00795,,-0.00795
RJF,0.00185,,0.00185
RL,-0.02805,,-0.02805
RMD,-0.01595,,-0.01595
ROK,-0.024925,,-0.024925
ROL,-0.030975,,-0.030975
ROP,-0.020475,,-0.020475
ROST,-0.0195,,-0.0195
RSG,-0.0269999999999999,,-0.0269999999999999
RTX,-0.0124,,-0.0124
RVTY,-0.024725,,-0.024725
SBAC,-0.018975,,-0.018975
SBUX,-0.035475,,-0.035475
SCHW,0.00505,,0.00505
SHOP,,,
SHW,-0.016275,,-0.016275
SJM,-0.045025,,-0.045025
SLB,-0.031,,-0.031
SMCI,0.014025,,0.014025
SNA,-0.003825,,-0.003825
SNPS,-0.02525,,-0.02525
SO,-0.023725,,-0.023725
SOLS,,,
