ticker,sector,Accruals_dolt,Accruals_est,Accruals
A,Healthcare,0.0004999999999999,,0.0004999999999999
AAPL,Technology,-0.0226999999999999,,-0.0226999999999999
ABBV,Healthcare,-0.0385,,-0.0385
ABNB,Consumer Cyclical,-0.00305,,-0.00305
ABT,Healthcare,-0.029375,,-0.029375
ACGL,Financial Services,-0.023,,-0.023
ACN,Technology,-0.025175,,-0.025175
ADBE,Technology,-0.025025,,-0.025025
ADI,Technology,-0.027225,,-0.027225
ADM,Consumer Defensive,-0.01615,,-0.01615
ADP,Technology,-0.0355,,-0.0355
ADSK,Technology,-0.0232749999999999,,-0.0232749999999999
AEE,Utilities,-0.024975,,-0.024975
AEP,Utilities,-0.0221999999999999,,-0.0221999999999999
AES,Utilities,-0.02165,,-0.02165
AFL,Financial Services,-0.008225,,-0.008225
AIG,Financial Services,-0.014925,,-0.014925
AIZ,Financial Services,-0.0088,,-0.0088
AJG,Financial Services,-0.006725,,-0.006725
AKAM,Technology,-0.0469749999999999,,-0.0469749999999999
ALB,Basic Materials,-0.0252,,-0.0252
ALGN,Healthcare,-0.018925,,-0.018925
ALL,Financial Services,-0.006575,,-0.006575
ALLE,Industrials,-0.014575,,-0.014575
AMAT,Technology,0.0011749999999999,,0.0011749999999999
AMCR,Consumer Cyclical,-0.010175,,-0.010175
AMD,Technology,-0.017775,,-0.017775
AME,Industrials,-0.01715,,-0.01715
AMGN,Healthcare,-0.046025,,-0.046025
AMP,Financial Services,0.002525,,0.002525
AMT,Real Estate,-0.025525,,-0.025525
AMZN,Consumer Cyclical,-0.060925,,-0.060925
ANET,Technology,-0.015425,,-0.015425
AON,Financial Services,-0.006875,,-0.006875
AOS,Industrials,-0.015775,,-0.015775
APA,Energy,-0.092125,,-0.092125
APD,Basic Materials,-0.0237,,-0.0237
APH,Technology,-0.011025,,-0.011025
APO,Financial Services,-0.000325,,-0.000325
APP,Communication Services,-0.05745,,-0.05745
APTV,Consumer Cyclical,-0.0255499999999999,,-0.0255499999999999
ARE,Real Estate,-0.0183499999999999,,-0.0183499999999999
ARM,Technology,,,
ASML,Technology,,,
ATO,Utilities,-0.01995,,-0.01995
AVB,Real Estate,-0.0319,,-0.0319
AVGO,Technology,-0.032375,,-0.032375
AVY,Consumer Cyclical,-0.0146249999999999,,-0.0146249999999999
AWK,Utilities,-0.0264499999999999,,-0.0264499999999999
AXON,Industrials,-0.01255,,-0.01255
AXP,Financial Services,-0.0037749999999999,,-0.0037749999999999
AZN,Healthcare,,,
AZO,Consumer Cyclical,-0.0208749999999999,,-0.0208749999999999
BA,Industrials,-0.0089,,-0.0089
BAC,Financial Services,,,
BALL,Consumer Cyclical,-0.0143499999999999,,-0.0143499999999999
BAX,Healthcare,-0.047475,,-0.047475
BBY,Consumer Cyclical,-0.0395,,-0.0395
BDX,Healthcare,-0.029775,,-0.029775
BEN,Financial Services,-0.01285,,-0.01285
BF-B,Consumer Defensive,,,
BG,Consumer Defensive,-0.00665,,-0.00665
BIIB,Healthcare,-0.0223,,-0.0223
BK,Financial Services,-0.0293,,-0.0293
BKNG,Consumer Cyclical,-0.04095,,-0.04095
BKR,Energy,-0.012375,,-0.012375
BLDR,Industrials,-0.035475,,-0.035475
BLK,Financial Services,-0.003625,,-0.003625
BMY,Healthcare,-0.06425,,-0.06425
