symbol,accruals_avg_4q
A,0.0004999999999999999
AAPL,-0.022699999999999998
ABBV,-0.0385
ABNB,-0.00305
ABT,-0.029375
ACGL,-0.023
ACN,-0.025175
ADBE,-0.025025
ADI,-0.027225
ADM,-0.01615
ADP,-0.035500000000000004
ADSK,-0.023274999999999997
AEE,-0.024975
AEP,-0.022199999999999998
AES,-0.02165
AFL,-0.008225
AIG,-0.014925
AIZ,-0.0088
AJG,-0.006725
AKAM,-0.046974999999999996
ALB,-0.0252
ALGN,-0.018925
ALL,-0.006575
ALLE,-0.014575000000000001
AMAT,0.0011749999999999985
AMCR,-0.010175
AMD,-0.017775
AME,-0.01715
AMGN,-0.046025
AMP,0.0025250000000000003
AMT,-0.025525000000000003
AMZN,-0.060925
ANET,-0.015425
AON,-0.006875
AOS,-0.015775
APA,-0.092125
APD,-0.0237
APH,-0.011025
APO,-0.00032500000000000026
APP,-0.05745
APTV,-0.025549999999999996
ARE,-0.018349999999999998
ATO,-0.019950000000000002
AVB,-0.0319
AVGO,-0.032375
AVY,-0.014624999999999999
AWK,-0.026449999999999998
AXON,-0.012550000000000002
AXP,-0.0037749999999999997
AZO,-0.020874999999999998
BA,-0.008900000000000002
BALL,-0.014349999999999998
BAX,-0.047475
BBY,-0.0395
BDX,-0.029775000000000003
BEN,-0.01285
BG,-0.00665
BIIB,-0.0223
BK,-0.0293
BKNG,-0.04095
BKR,-0.012375
BLDR,-0.035475
BLK,-0.003625
BMY,-0.06425
BR,-0.034875
BRO,-0.0089
BSX,-0.026275
BX,-0.004025
BXP,-0.025475
C,-0.0591
CAG,-0.0013500000000000005
CAH,-0.010375
CARR,-0.0225
CAT,-0.014025
CB,-0.014124999999999999
CBOE,-0.0232
CBRE,-0.023725000000000003
CCI,-0.10890000000000001
CCL,-0.04505
CDNS,-0.018225
CDW,-0.01115
CEG,-0.039925
CF,-0.046225
CFG,-0.0014500000000000003
CHD,-0.0176
CHRW,-0.012075
CHTR,-0.03725
CI,-0.005750000000000001
CINF,-0.0135
CL,-0.016425
CLX,-0.038925
CMCSA,-0.025675
CME,-0.0009000000000000001
CMG,-0.02515
CMI,-0.0029500000000000012
CMS,-0.0243
CNC,-0.006875
CNP,-0.0233
COF,-0.006025000000000001
COIN,-0.062925
COO,-0.0156
COP,-0.0688
COR,-0.006624999999999999
COST,-0.02515
CPAY,-0.031125
CPB,-0.006774999999999999
CPRT,-0.0192
CPT,-0.04085
CRL,-0.04385
CRM,-0.0378
CRWD,-0.05325
CSCO,-0.003875
CSGP,-0.02325
CSX,-0.026925
CTAS,-0.028325
CTRA,-0.0634
CTSH,-0.010150000000000001
CTVA,-0.020900000000000005
CVS,-0.01085
CVX,-0.050525
D,-0.0242
DAL,-0.01165
DASH,-0.036699999999999997
DAY,-0.0165
DD,-0.029500000000000002
DDOG,0.015325
DE,-0.013274999999999999
DECK,-0.007099999999999997
DELL,-0.008275000000000001
DG,-0.025125
DGX,-0.022375
DHI,0.005025
DHR,-0.01355
DIS,-0.02255
DLR,-0.030125
DLTR,-0.035199999999999995
DOC,-0.024875
DOV,-0.022324999999999998
DOW,-0.02825
DPZ,-0.034675
DRI,-0.024325
DTE,-0.02345
DUK,-0.026875
DVA,-0.0242
DVN,-0.084525
DXCM,-0.0684
EA,-0.026125000000000002
EBAY,-0.0103
ECL,-0.0384
ED,-0.01695
EFX,-0.03715
