,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
A,,0.0298569350135261,,,0.10136257892987703,,0.2965270854104354,0.11185885776646053,,0.0004999999999999,0.0004999999999999,0.057212705322374546,0.3103906947981064,-0.2883540090854343,0.1490823577142626,0.2703084950808634,-0.2883540090854343,0.2805019807638507,0.27815820894660964,-0.40219164564238186,0.23616443560194425,1.1627389681374503,-0.4021916456423821,-0.292831282067803,,,0.1448102484817523,0.20317903976604862,1.378723309934055,-1.7299233832861542
AAPL,,0.02449358966360905,,,0.28948974079908557,,0.5561742916023045,-0.00035282197266685165,,-0.0226999999999999,-0.0226999999999999,0.13767788657585434,0.22069461873269594,-0.19601268770325964,0.4284173925695225,0.2029672235030921,-0.19601268770325952,1.3193596829589564,0.2484936730758066,-0.2640420125104602,0.24171475631080672,1.2042528063919113,-0.30461536678299417,-0.4352647382712222,,,1.595236925213293,-0.48982565358640934,0.013988707927443613,1.6358091326010364
ABBV,,0.009860350697296258,,,0.02727157429384161,,0.2998351240193503,-0.03350077851441132,,-0.0385,-0.0385,0.19920930463440345,0.2352175059240219,-0.1058830811900463,0.5969553830034231,0.22813599192296427,-0.12836609373437424,1.4630266585942957,0.22100863577210159,-0.1572592284507438,0.2283303551806712,0.6072155519747091,-0.3903153867315722,-0.8238771928942895,,,0.16328942842903252,-0.6945431082388788,-0.9154426158529348,0.9493979596265566
ABNB,,0.03241324843125092,,,0.1103184525998382,,0.405047331869425,0.02553191489361702,,-0.00305,-0.00305,-0.06840054012817143,0.19616274485593233,-0.13977098520335818,0.003641022061112942,0.238514323329257,-0.28885794869010384,-0.13623977918412244,0.3868677560580655,-0.5856554520424444,0.3910959207948615,1.0980150701747236,-0.5856554520424444,-0.2249436985782647,,,0.7510199695033108,-0.3299648959876334,1.1698953859201164,-0.31385421900743693
ABT,,0.09924095900703529,,,0.17407546923108055,,0.30069392342248386,0.15040333073119957,,-0.029375,-0.029375,0.06244478554652222,0.21345825453789066,-0.09205968613730164,0.234104437815702,0.17899653125012596,-0.13438292281940933,0.2525010156536043,0.19995769103136843,-0.3042373756814978,0.1798562943462596,0.7757546412109779,-0.30423737568149767,1.5497885191816758,,,0.1680868055413653,0.4412246757413827,-0.3786666139861056,1.6553172629677642
ACGL,,0.11081395348837209,,,0.05003249298218581,,,0.20351332773237607,,-0.023,-0.023,-0.14614774664714192,0.1594365377382746,-0.10584321348383252,0.08066397962496086,0.2512226797662368,-0.2002760674912366,1.8087197151909056,0.25144787678721936,-0.20027606749123683,0.2427369680557054,0.639378195264066,-0.4558423988952628,1.8571305781123744,,,,0.7692250877423135,-0.0036587222709237054,1.0915642126409846
ACN,,0.048905167769290846,,,0.10483055512136258,,0.2781962566995728,0.17030817073370524,,-0.025175,-0.025175,-0.304614043668582,0.21694826013238883,-0.35300096394228153,-0.23144085922022306,0.23063940402543442,-0.3530009639422812,0.07155282179776168,0.258142813059349,-0.3736447968025275,0.22723947844921483,1.1714023903400035,-0.3736447968025276,0.21302941661211916,,,0.042411600105060926,0.5641543705310442,-0.1316025912090446,-0.1771107626048195
ADBE,,0.04744125386579048,,,0.23775267843411993,,0.7061497189139313,-0.036071069393228294,,-0.025025,-0.025025,-0.34589962589599865,0.22371585357896137,-0.24109470455363047,-0.4476849874355546,0.29107825569292517,-0.4537376004128948,-0.2946893214627282,0.35152004407971255,-0.5891617194338095,0.2843745603410551,1.2418623152133537,-0.5891617194338095,0.17415250243708455,,,2.4330212550252255,-0.7104168893500983,-0.12277887610986381,3.440369522922272
ADI,,0.016737297161013503,,,0.040841731130864645,,0.1303435903082909,-0.008757450423989909,,-0.027225,-0.027225,0.08979002244659817,0.26681515749432794,-0.1490564084394016,0.31843556896680214,0.23216462532687224,-0.15955467090865405,0.8346018180932533,0.25947113185507403,-0.21281368689621571,0.21593685525034037,1.187764858175655,-0.2415295040299662,-0.6412472876676426,,,-0.7835146815793815,-0.5417315423155622,-0.25219336423118155,-0.6308370627002804
ADM,,0.038442336397639575,,,0.020847165051122028,,0.10002465997685756,-0.013321188659911193,,-0.01615,-0.01615,0.13393706382455184,0.23060118066043286,-0.06835808677392541,-0.12997323790428317,0.28549172981755344,-0.3152829691198973,0.37625663906010565,0.2778227544527055,-0.4810772491535129,0.2251323226831502,0.7802245283600149,-0.4810772491535129,-0.06483022820096362,,,-0.9528805916064661,-0.5699165942110352,0.39929093392499726,-0.8470851595213916
