,sector,mcap,EP,FCP,EP_sn,FCP_sn,EP_use,FCP_use,ShYield,GPA,AssetGrowth,Accruals,EP_z,FCP_z,ShYield_z,GPA_z,Accruals_z,AssetGrowth_z,Value,Quality,Stability,Score2,beta_spy,downside_dev,max_dd_monthly,ret_5y,vol_5y,dd_5y
A,Healthcare,,0.029439824439704332,,-0.012097493828274061,,-0.012097493828274061,,,0.2965270854104354,0.11185885776646053,0.0004999999999999,-0.3137750321927614,,,-0.30127276584035206,1.6626018257636765,0.7139297934537813,-0.3137750321927614,-1.9638745916040286,-0.7139297934537813,-1.0538458082094724,1.1593831580702174,0.23854334168114688,-0.4021915473188181,0.29864435575180703,0.2780374103877607,-0.4021915473188179
AAPL,Technology,,0.02454650415329834,,-0.016990814114680054,,-0.016990814114680054,,,0.5561742916023045,-0.00035282197266685165,-0.0226999999999999,-0.48034915113428855,,,1.7339041947047273,-0.1400844625224184,-0.982374034361926,-0.48034915113428855,1.8739886572271458,0.982374034361926,0.7539306093095282,1.2029808139848468,0.24172743663110952,-0.30461565558067405,1.3143598779658223,0.24853331934822007,-0.2640419480046403
ABBV,Healthcare,,0.009536411594618623,,-0.032000906673359766,,-0.032000906673359766,,,0.2998351240193503,-0.03350077851441132,-0.0385,-1.1442913716862866,,,-0.2737480006628131,-1.3009860627597236,-1.234596107165012,-1.1442913716862866,1.0272380620969106,1.234596107165012,0.20009789759725202,0.6047826783116531,0.23031595348324788,-0.3903153608939748,1.5466925942402714,0.2201330367634897,-0.15725908339463135
ABNB,Consumer Cyclical,,0.0340006625859167,,-0.007536655682061695,,-0.007536655682061695,,,0.405047331869425,0.02553191489361702,-0.00305,-0.604638901599509,,,0.14408515287703816,1.906436915393491,-0.5100823517388715,-0.604638901599509,-1.7623517625164529,0.5100823517388715,-0.8447797952986106,1.1031453124253656,0.38494177856314227,-0.5856554520424444,-0.17656679332084968,0.3874824014938446,-0.5856554520424444
ABT,Healthcare,,0.09726179123643652,,0.05572447296845813,,0.05572447296845813,,,0.30069392342248386,0.15040333073119957,-0.029375,2.157968169626451,,,-0.2665945029404289,-0.6198706370671508,1.1982711040620306,2.157968169626451,0.35327613412672193,-1.1982711040620306,0.764843500688863,0.7715914823661205,0.17985637844579852,-0.3042373172515388,0.2779880975033713,0.20009106392006276,-0.3042373172515387
ACGL,Financial Services,,0.10639723157831704,,0.06485991331033865,,0.06485991331033865,,,,0.20351332773237607,-0.023,2.1749774494089347,,,,-0.8413285274043745,1.3730390504809236,2.1749774494089347,,-1.3730390504809236,0.5953831696673891,0.633589852151795,0.2453543699122425,-0.4558423988952628,1.9253142329360027,0.25134359319544974,-0.1997181432644981
ACN,Technology,,0.04943847766753609,,0.007901159399557697,,0.007901159399557697,,,0.2781962566995728,0.17030817073370524,-0.025175,0.9753997314981202,,,-0.4264553255326577,-0.3865953043956426,0.23970968149431376,0.9753997314981202,-0.03986002113701509,-0.23970968149431376,0.3262739478455793,1.170486710389325,0.22736992591055621,-0.373644972793988,0.05999368194517207,0.25827620969004256,-0.373644972793988
ADBE,Technology,,0.04896773024086064,,0.007430411972882245,,0.007430411972882245,,,0.7061497189139313,-0.036071069393228294,-0.025025,0.9500106378754395,,,2.3932438645470153,-0.3717711318201996,-1.2106756464848336,0.9500106378754395,2.765014996367215,1.2106756464848336,1.7281453829940285,1.2437133422173439,0.28498270458081126,-0.5891617194338095,-0.31667604787573755,0.35192805821282225,-0.5891617194338095
ADI,Technology,,0.017113095558101508,,-0.024424222709876885,,-0.024424222709876885,,,0.1303435903082909,-0.008757450423989909,-0.027225,-0.9026370401273762,,,-1.5460208610056358,-0.5869762925213395,-1.0373984553010398,-0.9026370401273762,-0.9590445684842963,1.0373984553010398,-0.5371929523844612,1.1882626727557595,0.21621327004207028,-0.24152946961175503,0.7943150551721689,0.2599146178314206,-0.2128140117749444
ADM,Consumer Defensive,,0.04054054086623348,,-0.0009967774017449124,,-0.0009967774017449124,,,0.10002465997685756,-0.013321188659911193,-0.01615,-0.07411456415901302,,,-1.721402087419371,0.45931701555681426,-0.3439100583486233,-0.07411456415901302,-2.180719102976185,0.3439100583486233,-0.8331514551843546,0.7855293355513282,0.226767488329764,-0.4810772491535127,0.3050271577687773,0.2793614431988971,-0.4810772491535129
ADP,Technology,,0.039266603148415985,,-0.002270715119562408,,-0.002270715119562408,,,0.1694270138658885,-0.018273558892402328,-0.0355,0.39817510011741547,,,-1.2832502488602118,-1.32727212343215,-1.098754699471944,0.39817510011741547,0.04402187457193829,1.098754699471944,0.39662972977013033,0.7839903176916029,0.19980843224285097,-0.21514264421532414,0.6198056540126404,0.21440347750560176,-0.21126576355214
ADSK,Technology,,0.01621912685507919,,-0.025318191412899205,,-0.025318191412899205,,,0.564529440894192,0.08995983935742972,-0.0232749999999999,-0.9512543317039712,,,1.7814237465692686,-0.1976483822735815,-0.35144723918537024,-0.9512543317039712,1.97907212884285,0.35144723918537024,0.48141656669262567,1.456233238105814,0.32203032256089115,-0.46451591536387515,0.060485961620577955,0.31607576626397466,-0.46451591536387504
AEE,Utilities,,0.043478260235618155,,0.0019409419676397616,,0.0019409419676397616,,,0.08406868458148802,0.10136060849435442,-0.024975,-0.19857198478233667,,,-0.6186271712965548,0.3159328803294526,1.2183333397431946,-0.19857198478233667,-0.9345600516260073,-1.2183333397431946,-0.6969194825119766,0.3897816139014383,0.14881650616996622,-0.23110546158916856,0.5570714941191581,0.18793152833583984,-0.23110546158916867
AEP,Utilities,,0.05624639695985311,,0.014709078691874718,,0.014709078691874718,,,0.12437194579678562,0.08186796971771465,-0.0221999999999999,0.7182033087583974,,,1.0373307630222541,0.7283423212273162,0.5790729910596648,0.7182033087583974,0.3089884417949379,-0.5790729910596648,0.2950621020094012,0.4165859617821739,0.19379638671826965,-0.25146869233820857,0.7043995172960535,0.19304855361107182,-0.2282422542665451
AES,Utilities,,0.10474168351120068,,0.06320436524322229,,0.06320436524322229,,,0.04184091819853886,0.016841928861703465,-0.02165,2.670783833222944,,,-2.002577993405133,0.8072514528027378,-1.589752110137182,2.670783833222944,-2.809829446207871,1.589752110137182,0.2623321768334658,0.9305372860475932,0.3275922090408608,-0.6223172139300485,-0.16891350448475617,0.39098079340661496,-0.6223172139300486
AFL,Financial Services,,0.07064598351050327,,0.02910866524252488,,0.02910866524252488,,,,0.0380134478396911,-0.008225,0.7530722772625162,,,,0.4557415154390541,-0.541418460000571,0.7530722772625162,,0.541418460000571,0.40951260290512076,0.8264551039139238,0.22007980111743528,-0.37231022384581336,1.9022575652949576,0.20755941782045764,-0.13454407005031754
AIG,Financial Services,,0.06824385778205677,,0.02670653951407838,,0.02670653951407838,,,,-0.011430103043659538,-0.014925,0.6267939984824562,,,,-0.1408944682316312,-1.1002953475390702,0.6267939984824562,,1.1002953475390702,0.47077666890079656,1.0037874894576282,0.3164704172274892,-0.6007376873920323,1.2494389993340933,0.24133899432543374,-0.2343857781314923
AIZ,Financial Services,,0.06740370678637886,,0.025866388518400465,,0.025866388518400465,,,,0.051902407248393685,-0.0088,0.5820467532195508,,,,0.4052859212617702,-0.3750372108637178,0.5820467532195508,,0.3750372108637178,0.3078261434605639,0.5928497730572757,0.21323209858426073,-0.32724751950481124,0.8872303970054964,0.22398055062643416,-0.32724751950481124
AJG,Financial Services,,0.026438943023212882,,-0.01509837524476551,,-0.01509837524476551,,,0.07885499655080115,0.27163187991309,-0.006725,-1.5273908442409307,,,-1.0722424483558752,0.5860603246237573,1.9459352547490443,-1.5273908442409307,-1.6583027729796327,-1.9459352547490443,-1.6634644978380346,0.6980306356229651,0.21287158735066963,-0.2789326551276443,1.28735285020846,0.23564597390374883,-0.2789326551276443
AKAM,Technology,,0.04024361220407967,,-0.0012937060638987252,,-0.0012937060638987252,,,0.23512677856504988,0.044471036126576845,-0.0469749999999999,0.45572673177658773,,,-0.7837886910182529,-2.0878376541161003,-0.677094864297103,0.45572673177658773,1.3040489630978476,0.677094864297103,0.8393292508091948,0.5787294326072697,0.290576315582419,-0.3945964010786507,-0.19099607636411253,0.2606424632953784,-0.3945964010786508
ALB,Basic Materials,,-0.06465267186266963,,-0.10618999013064802,,-0.10618999013064802,,,0.03926322395402648,-0.05962248131717797,-0.0252,-2.1370984423331865,,,-1.6594427742508417,0.5449704280354923,-1.7487547529508345,-2.1370984423331865,-2.204413202286334,1.7487547529508345,-1.3868537072576412,1.5181532226061623,0.39930766998205647,-0.7959159916065192,-0.24192180691658316,0.48261773255162926,-0.7959159916065193
ALGN,Healthcare,,0.042939781646767844,,0.0014024633787894508,,0.0014024633787894508,,,0.44444394471749166,0.009867944590119,-0.018925,0.28803049533003533,,,0.9102894720272747,0.24576809839148062,-0.6910200130319137,0.28803049533003533,0.6645213736357941,0.6910200130319137,0.5192247501927145,1.7662243873537704,0.5209693069767819,-0.8233850476435782,-0.7198362859317385,0.48808474472999647,-0.8233850476435781
ALL,Financial Services,,0.11188809269463294,,0.07035077442665455,,0.07035077442665455,,,,0.06944854569614646,-0.006575,2.309232091419595,,,,0.5989754849968169,-0.16157801687789888,2.309232091419595,,0.16157801687789888,0.9560084399434179,0.5285613254355466,0.1879604091610702,-0.23901280202748088,1.2246343785668974,0.22225656948883593,-0.1960659776330439
