ticker,mean_p_up,median_p_up,n_obs
COIN,0.3009132419339031,0.3106005124391076,43
APA,0.3797289338810497,0.35172275579090373,48
CCL,0.44973941633659575,0.48403423759610664,48
WBD,0.45411045328089844,0.45299522774833795,48
HAL,0.46349815110892906,0.4716162445225208,48
PCG,0.46458935604994656,0.5167608151132628,48
VTRS,0.46986914256535295,0.427239230611825,48
DVN,0.48667292163706727,0.4874537056726972,48
HOOD,0.48692236575577164,0.49995091116062684,40
OXY,0.49293177647014524,0.4983064297728227,48
SLB,0.49373388175281135,0.4942672484564202,48
BAX,0.5061146178221464,0.5268377023078256,48
XYZ,0.512851442380354,0.5336983958303092,48
IVZ,0.5149736670662571,0.5227641052921661,48
PYPL,0.5184928379303897,0.5100125297082494,48
TRGP,0.5233599399084026,0.5363283159487477,48
FI,0.526105642976293,0.5261306749413373,48
PSKY,0.5315230567283168,0.530677619757863,48
NCLH,0.5328375511533282,0.5654659716570731,48
MRNA,0.5342842086715619,0.5272237687559022,48
