,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
APA,,0.1264170302939511,,,0.05736650082918739,,0.2166766169154229,-0.10482792770487745,,-0.092125,-0.084981,0.04544384143903213,0.37990841804162767,-0.3086556966763706,-0.31965149269766613,0.33368465748852194,-0.5398165920066006,0.9921180210324654,0.42337997997178106,-0.638863101111279,0.5471379681522486,2.839402548312179,-0.930836074883022,2.271498852357551,,,-0.30124596507555107,-1.1350502752945744,-3.6496766260197386,6.754979788596313
LULU,,0.10829757580105648,,,0.2409842358928999,,0.8695925767274003,0.11555284702930768,,-0.034425,-0.034425,-0.4839705628050056,0.4896023689478519,-0.6005070102750368,-0.6296553139178329,0.4206350311290411,-0.676367622180583,-0.5530495362889376,0.38429559092678056,-0.6763676221805828,0.35826068706172043,1.1187219359036136,-0.676367622180583,1.7903035610672997,,,3.3460365906060607,0.22599263548351856,-0.6757316889918575,5.586079205181699
UHS,,0.09111916754904228,,,0.08595160665990009,,0.9194153815402877,0.06496490619146827,,-0.030525,-0.030525,0.08121429322163798,0.2831264182896644,-0.12463848450487214,0.6172853172586483,0.2837707575633739,-0.29771815561729353,0.7337862050922905,0.3499995908485332,-0.44591107193170176,0.2871086214874658,1.2354254357828731,-0.44591107193170165,1.3340994757857956,,,3.6243539515746965,-0.08643188671561604,-0.44631509641315814,5.491200410489267
DPZ,,0.044397095813535424,,,0.33168212541857084,,0.9194153815402877,-0.02409097815416545,,-0.034675,-0.034675,-0.13952907537493908,0.22435638798545873,-0.18113083487390502,0.05648825985965433,0.2585077116589887,-0.2306900007718593,0.09320217037794176,0.32195841855046253,-0.4781288532991468,0.2858334116897389,0.7671868242785282,-0.47812885329914667,0.093309311420332,,,3.6243539515746965,-0.636429408949105,-0.6904378808238255,5.044530552767959
EOG,,0.09096933032490792,,,0.12287047903838631,,0.326511363697261,0.02343888200955245,,-0.069675,-0.069675,-0.17984944449413343,0.22768580551030626,-0.1537636898577206,-0.07433432234510118,0.20750002221507274,-0.17984944449413343,1.8681256710625163,0.3243678350927481,-0.21780283236103481,0.3700726082266143,1.314934450148419,-0.722578330374511,1.3301202739427307,,,0.3123067440058244,-0.3428911939930629,-2.749304737299335,4.734622949240952
KR,,0.06305170376085024,,,0.04916348164707579,,0.61265955145309,0.041735513092160254,,-0.05525,-0.05525,0.05411499936520192,0.1440575247285779,-0.11270722011013035,0.48847507788343236,0.19564729669501474,-0.12141261671719028,1.127275299521969,0.2368640288696369,-0.23227906921322106,0.24491078617080003,0.46960010168553046,-0.507719320322082,0.5887165825737574,,,1.9107717192566807,-0.22989358766310106,-1.9007574685947857,4.630139358088325
STZ,,0.052820666665111475,,,-0.01970149320213852,,0.23061838323479988,-0.14571701566762982,,-0.0762,-0.0762,-0.44328380102757237,0.2556129591701724,-0.39302825901591687,-0.43321814908812284,0.23625033626402506,-0.5002299074634119,-0.31003973776839266,0.21360360766658867,-0.5002299074634119,0.24639949290596905,0.7873877207514792,-0.5002299074634118,0.3170126591793778,,,-0.22336525113696631,-1.387575947586139,-3.1331363441136975,4.614359699742248
VRSN,,0.03508341546308829,,,0.3522235906378823,,0.9194153815402877,-0.0646468673177862,,-0.02345,-0.02345,0.31389264869463607,0.2639042193512032,-0.16727189083964444,0.15897467788751496,0.22614936271189068,-0.17712181932820914,0.22526122304852692,0.24196964144748923,-0.34075330809643156,0.24122951445133634,0.7980511675579339,-0.34075330809643145,-0.1540325238967941,,,3.6243539515746965,-0.8868972889310418,-0.030129867568465907,4.38734858417741
CI,,0.07957621370565203,,,0.03259346344520963,,0.9194153815402877,-0.02441362273715631,,-0.00575,-0.00575,-0.21976557778590433,0.3760036199538551,-0.2741216559954778,0.01958559235561652,0.31963232317519247,-0.3089207411007926,0.3441373439026003,0.29039904217667145,-0.3089207411007926,0.26849542911007124,0.5650480147847156,-0.33720050583745464,1.0275552010010212,,,3.6243539515746965,-0.6384220197968994,1.011068514134863,4.279262658237753
DVN,,0.12614259715099532,,,0.09243519947997075,,0.1551312261314699,0.24751609569986488,,-0.084525,-0.084525,-0.1110325148716349,0.29168289563824684,-0.19090913792238573,-0.21478229553237538,0.2574523109302138,-0.38932550592110626,2.0417740900357875,0.3972885652581518,-0.5576804922897376,0.5119453319227246,2.0965180108605166,-0.8510423945848394,2.2642107777515474,,,-0.6450473790485867,1.0409804414885766,-3.6228525321182294,4.201035489332614
MTCH,,0.06492307692307693,,,0.12920944647012078,,0.5963459504535593,-0.1146992775574975,,-0.030025,-0.030025,0.016011305816161503,0.24687309459767728,-0.1641411354495793,0.027307138750516158,0.30441371398735007,-0.2179608042528014,-0.761050135471712,0.4067476487218035,-0.8138625496481853,0.3735350165024275,0.9649045247572678,-0.8138625496481854,0.6384143234336465,,,1.8196415953076919,-1.1960144440290026,-0.4169027127492223,4.0709730755195634
ORLY,,0.1264170302939511,,,0.16001609091060792,,0.5810131249164717,0.09917452582757587,,-0.023925,-0.023925,0.10640109534546283,0.22222470591296886,-0.1494295610348746,0.40017103581512337,0.2117937131389743,-0.14942956103487448,2.108895987487131,0.21109115776615828,-0.14942956103487448,0.20144607193629538,0.8149029402335382,-0.3251557477145436,2.271498852357551,,,1.7339902242999539,0.12484226068811775,-0.058071632049204944,3.938718448018592
