,sector,mcap,EP,FCP,EP_sn,FCP_sn,EP_use,FCP_use,ShYield,GPA,AssetGrowth,Accruals,EP_z,FCP_z,ShYield_z,GPA_z,Accruals_z,AssetGrowth_z,Value,Quality,Stability,Score2,beta_spy,downside_dev,max_dd_monthly,ret_5y,vol_5y,dd_5y
NRG,Utilities,,0.05327536231884058,,0.011738044050862186,,0.011738044050862186,,,0.20932610379550737,-0.06497942706311621,-0.0597,0.5106949097453937,,,2.7471378435936495,-2.795255959710613,-2.755065573456836,0.5106949097453937,5.542393803304263,2.755065573456836,2.97224859991123,1.123211971020362,0.31245053066046036,-0.35155212666616964,5.097457181459994,0.4033925264346183,-0.296842975212638
LULU,Consumer Cyclical,,0.10786732964126924,,0.06633001137329085,,0.06633001137329085,,,0.8695925767274003,0.11555284702930768,-0.034425,2.247924402838261,,,2.437945297502904,-1.112065093812733,0.04991491941476834,2.247924402838261,3.550010391315637,-0.04991491941476834,2.3091909337786056,1.11846933832182,0.35819270117906515,-0.675076762490233,-0.5512668026172474,0.38425330051212153,-0.6750767624902327
APA,Energy,,0.11188809269463294,,0.07035077442665455,,0.07035077442665455,,,0.2166766169154229,-0.10482792770487745,-0.084981,2.0624962647813514,,,0.847785187388159,-2.192424589433077,-1.276194072843793,2.0624962647813514,3.0402097768212357,1.276194072843793,2.2963212312097934,2.8254358064338243,0.5515955532213118,-0.9308360839583967,1.1108128409391949,0.42347628825724115,-0.6388630354824033
HST,Real Estate,,0.0543721968443644,,0.01283487857638601,,0.01283487857638601,,,0.24329778034015567,0.044571612799226244,-0.04805,1.547168063164508,,,2.4049710845725123,-1.734893284932704,0.007626185637025361,1.547168063164508,4.139864369505216,-0.007626185637025361,2.2732877359404844,1.2770192310636292,0.26028148956063374,-0.46765013163799174,0.5089189221890149,0.28743511240786296,-0.279773656730418
EOG,Energy,,0.0911678177225451,,0.04963049945456671,,0.04963049945456671,,,0.326511363697261,0.02343888200955245,-0.069675,1.435364467267703,,,2.1069206949620067,-1.5988523772726033,-0.7245664095259615,1.435364467267703,3.70577307223461,0.7245664095259615,2.201368297706118,1.3121284001627638,0.37007645533674993,-0.722578330374511,1.8618806949355489,0.3244016016995096,-0.21780262901008607
UHS,Healthcare,,0.08772848394545443,,0.04619116567747604,,0.04619116567747604,,,0.9194153815402877,0.06496490619146827,-0.030525,1.9304565717803377,,,2.7836133512587433,-0.7114384157552721,0.06967508216861959,1.9304565717803377,3.4950517670140155,-0.06967508216861959,2.1562683190840177,1.2260644895624435,0.2871087016678742,-0.44591117976913064,0.8007963853214177,0.3505062680003637,-0.44591117976913075
KR,Consumer Defensive,,0.061623783304991006,,0.020086465037012613,,0.020086465037012613,,,0.61265955145309,0.041735513092160254,-0.05525,0.6382622432853436,,,2.064681205334046,-2.345357844223837,0.6412436232799559,0.6382622432853436,4.4100390495578825,-0.6412436232799559,1.8910717924812996,0.46619546430103753,0.24725039984372366,-0.5077193211786674,1.1765669343431093,0.23673484962233005,-0.23227925121136872
BLDR,Industrials,,0.06022665061486283,,0.018689332346884434,,0.018689332346884434,,,0.4536928901010203,0.06933635240202414,-0.035475,1.2839528384086325,,,1.8271966637013244,-1.6887392382490392,0.23233851965460522,1.2839528384086325,3.5159359019503635,-0.23233851965460522,1.8734877922126774,2.134593710818965,0.46545187570696567,-0.5186934429091743,1.9248863569967267,0.44662932051202014,-0.48367298619289956
VST,Utilities,,0.010785340314136128,,-0.030751977953842265,,-0.030751977953842265,,,0.19473497256975963,-0.025022364217252395,-0.054825,-2.090528547199887,,,2.6260373186021875,-2.670055847817554,-2.39689728556273,-2.090528547199887,5.296093166419741,2.39689728556273,1.7616053048004876,1.1513696976861847,0.2925809761468768,-0.4012417702151616,10.4389647394474,0.4323013518777922,-0.299869384383296
CLX,Consumer Defensive,,0.060730253007947065,,0.01919293473996867,,0.01919293473996867,,,0.5803043301575834,-0.033037732568249004,-0.038925,0.6089737656367082,,,1.9055331541808667,-1.4951278658493328,-0.6898077972352206,0.6089737656367082,3.400661020030199,0.6898077972352206,1.7418154737138072,0.38935497566260885,0.19856580873036475,-0.46567638827829416,-0.38055014373972584,0.2459119099150855,-0.40291627948420883
