asset,weight,ann_mu
LLY,0.24674717528457238,0.38870421218532886
PWR,0.09622348646661133,0.3790148359935984
CDNS,4.3128742671985115e-17,0.20794045699403035
ORLY,2.9648567826483994e-16,0.2403465360512251
AJG,0.0,0.16631726153951115
COST,5.936201169724703e-17,0.18600899711225793
NVDA,0.1843469253044868,0.5402474487869768
AAPL,1.3095787168839488e-16,0.1687342948158599
NFLX,6.522875916173483e-17,0.16506268928205411
GOOG,0.0,0.24019521459657067
META,0.0,0.1661492441771462
AMZN,9.782181391445437e-17,0.08998085307845982
MSFT,5.790780174531651e-17,0.17993308375055342
TSLA,0.0,0.17115727735269626
JPM,0.0,0.2237368851954099
GOOGL,6.057808191064247e-16,0.24058983708651982
WMT,0.0,0.15363915326246946
V,0.0,0.09983858786426254
XOM,1.2329478292563735e-16,0.2649148262015945
ORCL,8.828529743944392e-17,0.29962206402195685
PLTR,0.0,0.3931886287058179
JNJ,0.0,0.07996086518003193
AMD,0.0,0.19362986353971195
BAC,9.356608250035849e-17,0.15241703710505586
PG,0.0,0.0343476645602101
KO,0.0,0.09115875310215873
CSCO,0.0,0.13274857263663042
MU,4.49760752219104e-17,0.2796971294590713
TSM,1.044734704917165e-16,0.23967037319585352
CRM,0.0,-0.0012630553514581533
TMUS,0.0,0.09337732362535073
MS,1.6428441944951168e-16,0.22828485395797637
IBM,0.0,0.2338634339723845
AXP,0.0,0.23877218724686136
ANET,0.0,0.41869087559711216
RSG,2.2283372499225842e-17,0.1627355985702959
MSI,0.0,0.17866351015833243
GWW,0.0,0.17505331759854337
PGR,1.9802342733221617e-17,0.20273671116398667
MCK,0.18047723456586862,0.318515291098611
WM,0.0,0.1199906211949392
APH,5.461944536572064e-17,0.30554638234666526
AVGO,0.2922051783784605,0.460234008085454
HUBB,1.9971304335248566e-17,0.22619179717891144
SPY,0.0,0.14050821395430854
HYG,0.0,0.03969675523627208
