,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
A,,,,,0.10136257892987703,,0.2965270854104354,0.11185885776646053,,0.0004999999999999,0.0004999999999999,0.05721282319320409,0.310390693352364,-0.2883540090854343,0.14908235771426237,0.2703084411253372,-0.2883540090854342,0.28050198076385,0.27815816821438333,-0.4021917527259765,0.2361642849276367,1.1627382215771886,-0.4021917527259763,,,,0.1448102484817523,0.20317903976604862,1.378723309934055,-1.4370921012183513
AAPL,,,,,0.28948974079908557,,0.5561742916023045,-0.00035282197266685165,,-0.0226999999999999,-0.0226999999999999,0.1376779599808733,0.22069459947720868,-0.1960126385401606,0.4284171611354617,0.20296722563280112,-0.1960126385401605,1.3193595304156083,0.24849371900944447,-0.26404188349880997,0.24171489435429447,1.204251875057885,-0.3046155633741746,,,,1.595236925213293,-0.48982565358640934,0.013988707927443613,2.0710738708722585
ABBV,,,,,0.02727157429384161,,0.2998351240193503,-0.03350077851441132,,-0.0385,-0.0385,0.19920930463440345,0.2352175059240219,-0.1058830811900463,0.5969553830034227,0.2281360183769991,-0.12836609373437424,1.4630266585942953,0.22100863970885407,-0.15725917443581416,0.22833022289756486,0.6072145903061041,-0.39031556523064936,,,,0.16328942842903252,-0.6945431082388788,-0.9154426158529348,1.773275152520846
ABNB,,,,,0.1103184525998382,,0.405047331869425,0.02553191489361702,,-0.00305,-0.00305,-0.06840054012817143,0.19616274485593233,-0.13977098520335818,0.003641022061112942,0.238514323329257,-0.28885794869010384,-0.13623977918412244,0.3868677560580655,-0.5856554520424444,0.3910959207948615,1.0980137348928865,-0.5856554520424444,,,,0.7510199695033108,-0.3299648959876334,1.1698953859201164,-0.08891052042917225
ABT,,,,,0.17407546923108055,,0.30069392342248386,0.15040333073119957,,-0.029375,-0.029375,0.06244478554652222,0.21345818433943856,-0.09205968613730164,0.23410434398759805,0.17899647686683764,-0.1343828473694031,0.2525010156536034,0.19995771151492805,-0.30423725882158015,0.17985635999606356,0.7757542042411002,-0.3042372588215799,,,,0.1680868055413653,0.4412246757413827,-0.3786666139861056,0.10552874378608823
ACGL,,,,,0.05003249298218581,,,0.20351332773237607,,-0.023,-0.023,-0.14614774664714192,0.1594365377382746,-0.10584321348383252,0.08066397962496086,0.2512226797662368,-0.2002760674912366,1.8087197151909056,0.25144787678721936,-0.20027606749123683,0.2427369680557054,0.6393776277280039,-0.4558423988952628,,,,,0.7692250877423135,-0.0036587222709237054,-0.7655663654713898
ACN,,,,,0.10483055512136258,,0.2781962566995728,0.17030817073370524,,-0.025175,-0.025175,-0.304614043668582,0.21694819791308184,-0.35300096394228153,-0.23144085922022328,0.23063938627934824,-0.3530009639422813,0.07155282179776257,0.258142864155359,-0.37364484573610335,0.22723945414988259,1.1714014735440335,-0.37364484573610346,,,,0.042411600105060926,0.5641543705310442,-0.1316025912090446,-0.39014017921693867
ADBE,,,,,0.23775267843411993,,0.7061497189139313,-0.036071069393228294,,-0.025025,-0.025025,-0.34589962589599865,0.22371585357896137,-0.24109470455363047,-0.4476849874355546,0.29107825569292517,-0.4537376004128948,-0.2946893214627282,0.35152004407971255,-0.5891617194338095,0.2843745603410551,1.2418622822830452,-0.5891617194338095,,,,2.4330212550252255,-0.7104168893500983,-0.12277887610986381,3.2662170204851875
ADI,,,,,0.040841731130864645,,0.1303435903082909,-0.008757450423989909,,-0.027225,-0.027225,0.08979002244659795,0.2668152397374343,-0.14905646560729968,0.3184354554274462,0.23216455620346613,-0.15955461514263136,0.8346024776219372,0.2594712493868336,-0.21281359600507987,0.21593690299285692,1.187764087547226,-0.24152943519355374,,,,-0.7835146815793815,-0.5417315423155622,-0.25219336423118155,0.010410224967362214
ADM,,,,,0.020847165051122028,,0.10002465997685756,-0.013321188659911193,,-0.01615,-0.01615,0.13393706382455184,0.23060115037554768,-0.06835808677392541,-0.12997323790428317,0.28549161250962846,-0.3152829691198973,0.37625639857585025,0.2778227186672843,-0.4810772048027028,0.22513239463513948,0.7802257488082012,-0.48107720480270266,,,,-0.9528805916064661,-0.5699165942110352,0.39929093392499726,-0.7822549313204281
ADP,,,,,0.07303894801858334,,0.1694270138658885,-0.018273558892402328,,-0.0355,-0.0355,-0.14464180749579414,0.17197316338304205,-0.20192480620250464,0.16794526547464517,0.16356600015805026,-0.20192480620250475,0.6389888073689809,0.214097678744531,-0.20192480620250475,0.19954511863183338,0.7829958375235946,-0.2151424431777289,,,,-0.5651890505150229,-0.6005017866109191,-0.7389683138693196,0.7742810499652159
ADSK,,,,,0.0983799844365317,,0.564529440894192,0.08995983935742972,,-0.0232749999999999,-0.0232749999999999,0.04021932510254356,0.19364774714373034,-0.15911867774019361,0.3901022058776271,0.26947077139320996,-0.2258659253949432,0.08353853172154202,0.315961020838708,-0.46451591536387504,0.32543545759209785,1.4572694827528736,-0.46451591536387515,,,,1.6419099920980305,0.06793355932629346,-0.019835533286082556,1.5938119660578194
