,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
TTWO,,,,,-0.09084979798174384,,0.29010244262115054,-0.24556952742613594,,-0.1466,-0.084981,0.35709728883126024,0.2446908150262722,-0.08284953621701929,0.6159924072572807,0.2515363787643158,-0.13411748074633656,0.41626503615456434,0.28473799422268686,-0.49886904750977146,0.25503300508326315,0.7775183621447688,-0.49886904750977146,,,,0.1089212688669912,-2.0042520320414305,-3.6496766260197386,5.76284992692816
DPZ,,,,,0.33168212541857084,,0.9194153815402877,-0.02409097815416545,,-0.034675,-0.034675,-0.13952907537493908,0.22435646759302644,-0.18113088623027884,0.05648834425063032,0.2585077663086362,-0.23069000077185897,0.09320208001974417,0.3219585408515492,-0.4781289102059094,0.28583345656362175,0.7671880864222623,-0.4781289102059094,,,,3.6243539515746965,-0.636429408949105,-0.6904378808238255,4.9512212413476275
VRSN,,,,,0.3522235906378823,,0.9194153815402877,-0.0646468673177862,,-0.02345,-0.02345,0.3138926486946356,0.26390417396717936,-0.16727189083964455,0.15897467788751452,0.22614938016992678,-0.17712181932820914,0.22526122304852647,0.2419696425337817,-0.34075330809643156,0.2412295397856872,0.798051681143495,-0.3407533080964317,,,,3.6243539515746965,-0.8868972889310418,-0.030129867568465907,4.541381108074204
APA,,,,,0.05736650082918739,,0.2166766169154229,-0.10482792770487745,,-0.092125,-0.084981,0.04544374874708401,0.3799084010588893,-0.3086556365479248,-0.3196516497207116,0.3336845404921691,-0.5398165920066007,0.9921183575989219,0.4233800985193517,-0.6388631011112789,0.5471379763113261,2.839403259533051,-0.9308360839583967,,,,-0.30124596507555107,-1.1350502752945744,-3.6496766260197386,4.483480936238762
APP,,,,,0.3522235906378823,,0.7480861753453019,0.13094894245451058,,-0.05745,-0.05745,0.8771789596093174,0.7790993890203962,-0.28307041898812835,15.866062496507684,0.9178777532975844,-0.28307041898812846,9.897087277001145,0.8354151315978996,-0.8928244301987666,0.5713531265711235,2.501300580704778,-0.8928244301987666,,,,2.6672843384904947,0.3210769120380876,-2.0301719567161034,4.37637938316851
CCI,,,,,-0.09084979798174384,,0.1178162847028135,-0.17282853108821838,,-0.1089,-0.084981,-0.11030449505481887,0.22914543188436942,-0.13855903937916392,-0.14683484643548617,0.23527869308359448,-0.2352911335187149,-0.3287477987843782,0.27670837968493256,-0.5229417863923236,0.21953177769584017,0.6248582677688139,-0.5229417863923234,,,,-0.8534940143218496,-1.5550131294734897,-3.6496766260197386,4.351195741171379
IDXX,,,,,0.2989397280640112,,0.7536180236827125,-0.024619699683765137,,-0.03965,-0.03965,0.7141434556998372,0.2946198979221238,-0.039257792591330776,0.5519728458941602,0.32757503457312803,-0.2925959577139239,0.5682675717209069,0.3540432742312369,-0.5198444081677889,0.2905951919830885,1.268160051836577,-0.5198444081677885,,,,2.6981860397561896,-0.6396947241314542,-0.9830910982799872,4.320971862167632
STZ,,,,,-0.01970149320213852,,0.23061838323479988,-0.14571701566762982,,-0.0762,-0.0762,-0.44328383717801256,0.2556129242854389,-0.3930282160441835,-0.43321814908812306,0.2362503392321879,-0.5002299657295686,-0.31003962671697005,0.2136036824535206,-0.5002299657295686,0.24639961859908602,0.7873894517989795,-0.5002299657295686,,,,-0.22336525113696631,-1.387575947586139,-3.1331363441136975,4.29734704056287
NFLX,,,,,0.19418101393557843,,0.383089007978161,0.08148389082890765,,-0.1762999999999999,-0.084981,0.24050244003662913,0.3176771854235442,-0.1785039825789122,1.321011800297585,0.3090326008663302,-0.1785039825789121,1.2418788230153397,0.4273904420017422,-0.7466790344401111,0.39635021864209197,1.3152345225805369,-0.7466790344401111,,,,0.6283576107769638,0.01558720710578143,-3.6496766260197386,4.262447029690921
UHS,,,,,0.08595160665990009,,0.9194153815402877,0.06496490619146827,,-0.030525,-0.030525,0.08121437404582288,0.2831263478535646,-0.12463848450487203,0.6172849555816189,0.2837706641570136,-0.2977181556172934,0.7337856855167382,0.3499994372093268,-0.4459109259658055,0.2871086110048469,1.2354244165654196,-0.4459109259658053,,,,3.6243539515746965,-0.08643188671561604,-0.44631509641315814,4.157100934703471
