ticker,scenario,leverage_L,R_ruin_pct,p_ruin_1d
COIN,L=1.0,1.0,100.0,2.1583046713663482e-05
COIN,L=2.0,2.0,50.0,0.00020231121107871098
COIN,L=3.0,3.0,33.333333333333336,0.0007654588060367646
COIN,L=10.0,10.0,10.0,0.05009606212105079
COIN,loss>5%,,5.0,
COIN,loss>10%,,10.0,0.05009606212105079
AMD,L=1.0,1.0,100.0,
AMD,L=2.0,2.0,50.0,
AMD,L=3.0,3.0,33.333333333333336,1.0057992038275437e-11
AMD,L=10.0,10.0,10.0,0.008024128624371237
AMD,loss>5%,,5.0,
AMD,loss>10%,,10.0,0.008024128624371237
LLY,L=1.0,1.0,100.0,3.679171602602216e-05
LLY,L=2.0,2.0,50.0,0.00013181687358575377
LLY,L=3.0,3.0,33.333333333333336,0.00028269251212543713
LLY,L=10.0,10.0,10.0,0.0032651194907891336
LLY,loss>5%,,5.0,0.0191521713119334
LLY,loss>10%,,10.0,0.0032651194907891336
