symbol,period_end_date,wc_accruals_over_assets
A,2021-04-30,-0.0091
A,2021-07-31,0.0100
A,2021-10-31,0.0034
A,2022-01-31,0.0205
A,2022-04-30,-0.0105
A,2022-07-31,0.0084
A,2022-10-31,0.0146
A,2023-01-31,-0.0269
A,2023-04-30,0.0137
A,2023-07-31,-0.0284
A,2023-10-31,-0.0146
A,2024-01-31,-0.0268
A,2024-04-30,-0.0423
A,2024-07-31,-0.0617
A,2024-10-31,0.0341
A,2025-01-31,-0.0186
A,2025-04-30,-0.0111
A,2025-07-31,-0.0024
AAPL,2021-03-31,0.0021
AAPL,2021-06-30,0.0083
AAPL,2021-09-30,0.0039
AAPL,2021-12-31,-0.0123
AAPL,2022-03-31,-0.0055
AAPL,2022-06-30,0.0098
AAPL,2022-09-30,-0.0144
AAPL,2022-12-31,-0.0158
AAPL,2023-03-31,-0.0233
AAPL,2023-06-30,-0.0359
AAPL,2023-09-30,0.0177
AAPL,2023-12-31,-0.0164
AAPL,2024-03-31,-0.0146
AAPL,2024-06-30,-0.0347
AAPL,2024-09-30,-0.0754
AAPL,2024-12-31,0.0354
AAPL,2025-03-31,-0.0251
AAPL,2025-06-30,-0.0257
ABBV,2021-03-31,0.0043
ABBV,2021-06-30,0.0029
ABBV,2021-09-30,-0.0119
ABBV,2021-12-31,0.0037
ABBV,2022-03-31,0.0067
ABBV,2022-06-30,0.0016
ABBV,2022-09-30,-0.0114
ABBV,2022-12-31,-0.0686
ABBV,2023-03-31,-0.0072
ABBV,2023-06-30,-0.0468
ABBV,2023-09-30,-0.0692
ABBV,2023-12-31,-0.0697
ABBV,2024-03-31,-0.0151
ABBV,2024-06-30,-0.0162
ABBV,2024-09-30,-0.0533
ABBV,2024-12-31,-0.0740
ABBV,2025-03-31,0.0099
ABBV,2025-06-30,-0.0366
ABNB,2021-03-31,0.0363
ABNB,2021-06-30,-0.0437
ABNB,2021-09-30,0.0392
ABNB,2021-12-31,-0.0027
ABNB,2022-03-31,-0.0676
ABNB,2022-06-30,-0.0012
ABNB,2022-09-30,0.0338
ABNB,2022-12-31,-0.0027
ABNB,2023-03-31,-0.0671
ABNB,2023-06-30,0.0002
ABNB,2023-09-30,0.0293
ABNB,2023-12-31,-0.0141
ABNB,2024-03-31,-0.0594
ABNB,2024-06-30,-0.0006
ABNB,2024-09-30,0.0212
ABNB,2024-12-31,0.0284
ABNB,2025-03-31,-0.0593
ABNB,2025-06-30,-0.0025
ABT,2021-03-31,0.0048
ABT,2021-06-30,0.0012
ABT,2021-09-30,-0.0019
ABT,2021-12-31,-0.0006
ABT,2022-03-31,0.0133
ABT,2022-06-30,0.0088
ABT,2022-09-30,-0.0080
ABT,2022-12-31,-0.0562
ABT,2023-03-31,-0.0003
ABT,2023-06-30,-0.0125
ABT,2023-09-30,-0.0287
ABT,2023-12-31,-0.0583
ABT,2024-03-31,0.0038
ABT,2024-06-30,-0.0216
ABT,2024-09-30,-0.0394
ABT,2024-12-31,-0.0443
ABT,2025-03-31,-0.0300
ABT,2025-06-30,-0.0038
ACGL,2021-03-31,0.0019
ACGL,2021-06-30,-0.0131
ACGL,2021-09-30,0.0137
ACGL,2021-12-31,-0.0042
ACGL,2022-03-31,-0.0016
ACGL,2022-06-30,-0.0030
ACGL,2022-09-30,-0.0240
ACGL,2022-12-31,-0.0157
ACGL,2023-03-31,-0.0109
ACGL,2023-06-30,-0.0094
ACGL,2023-09-30,-0.0180
ACGL,2023-12-31,-0.0125
ACGL,2024-03-31,-0.0060
ACGL,2024-06-30,-0.0107
ACGL,2024-09-30,-0.0551
ACGL,2024-12-31,-0.0154
ACGL,2025-03-31,-0.0103
ACGL,2025-06-30,-0.0112
ACN,2021-02-28,-0.0212
ACN,2021-05-31,-0.0024
ACN,2021-08-31,-0.0097
ACN,2021-11-30,0.0451
ACN,2022-02-28,0.0097
ACN,2022-05-31,-0.0096
ACN,2022-08-31,-0.0331
ACN,2022-11-30,0.0341
ACN,2023-02-28,-0.0185
ACN,2023-05-31,-0.0483
ACN,2023-08-31,-0.0712
ACN,2023-11-30,0.0348
ACN,2024-02-29,-0.0118
ACN,2024-05-31,-0.0344
ACN,2024-08-31,-0.0597
ACN,2024-11-30,0.0246
ACN,2025-02-28,-0.0189
ACN,2025-05-31,-0.0382
ACN,2025-08-31,-0.0682
ADBE,2021-02-28,-0.0011
ADBE,2021-05-31,-0.0178
ADBE,2021-08-31,0.0038
ADBE,2021-11-30,-0.0122
ADBE,2022-02-28,0.0052
ADBE,2022-05-31,-0.0135
ADBE,2022-08-31,0.0024
ADBE,2022-11-30,-0.0509
ADBE,2023-02-28,-0.0086
ADBE,2023-05-31,-0.0378
ADBE,2023-08-31,-0.0261
ADBE,2023-11-30,-0.0150
ADBE,2024-02-29,-0.0019
ADBE,2024-05-31,-0.0202
ADBE,2024-08-31,-0.0189
ADBE,2024-11-30,-0.0529
ADBE,2025-02-28,-0.0094
ADBE,2025-05-31,-0.0157
ADBE,2025-08-31,-0.0221
ADI,2021-04-30,-0.0072
ADI,2021-07-31,-0.0002
ADI,2021-10-31,0.0272
ADI,2022-01-31,-0.0101
ADI,2022-04-30,-0.0011
ADI,2022-07-31,0.0030
ADI,2022-10-31,0.0060
ADI,2023-01-31,-0.0450
ADI,2023-04-30,-0.0145
ADI,2023-07-31,-0.0250
ADI,2023-10-31,-0.0385
ADI,2024-01-31,-0.0479
ADI,2024-04-30,-0.0161
ADI,2024-07-31,-0.0297
ADI,2024-10-31,-0.0442
ADI,2025-01-31,-0.0127
ADI,2025-04-30,-0.0196
ADI,2025-07-31,-0.0324
ADM,2021-03-31,0.0222
ADM,2021-06-30,-0.0088
ADM,2021-09-30,-0.0175
ADM,2021-12-31,-0.0138
ADM,2022-03-31,-0.0051
ADM,2022-06-30,0.0150
ADM,2022-09-30,-0.0022
ADM,2022-12-31,-0.0168
ADM,2023-03-31,0.0091
ADM,2023-06-30,-0.0145
ADM,2023-09-30,-0.0037
ADM,2023-12-31,-0.0315
ADM,2024-03-31,-0.0315
ADM,2024-06-30,-0.0203
